bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
GSSWKVA11393A,Simple,3/19/2024,"BARRAZA Y COMPANIA, S.A.
BARRAZA Y COMPANIA, S.A. SAN MIGUEL
ITO TRANSISTMICA MILLA 6 CIA,PANAMA
REPUBLICA DE PANAMA TAX IDENTIFIC
ATION NUMBER: 325-581- PH:(507)267-","WODEHAOTAI TRADING CO.,LIMITED
WODEHAOTAI TRADING CO.,LIMITED ADDR
ESS:ROOM 2003, TEDA CENTRAL HOT TED
A, TIANJIN, CHINA PHI  +86 22590673
93","WODEHAOTAI TRADING CO.,LIMITED","BARRAZA Y COMPANIA, S.A.",GSSW - G2 Ocean Us Inc,"BARRAZA Y COMPANIA, S.A.
BARRAZA Y COMPANIA, S.A. SAN MIGUEL, ITO TRANSISTMICA MILLA 6 CIA,PANAMA, , REPUBLICA DE PANAMA TAX IDENTIFIC, ATION NUMBER: 325-581- PH:(507)267-",China,Panama,,,"Houston, Galveston",Southwest Region,"Dagu/Tanggu, China",China,CNTXG,STAR KVARVEN,2401,9396153,3000 BAG,3000 X,3006,3006000 K,463000,15101010,Parsed: 2833.11,"SODIUM SULPHATE IN BAGS Description: 3000 N/M 3000 BAGS SODIUM SULFATE ANHYDROUS 99% MIN PACKED IN 1000KG BAGS HS CODE: 28331100 TOTAL 3000, 000. 00 KG CIF - FILO CRISTOBAL PORT, PANAMA FREIGHT PREPAID TOTAL SEA FREIGHT: USD165330. 00 CLEAN ON BOARD SAY: TOTAL THREE THOUSAND BAGS ONLY. Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Sodium Sulphate,",",",",",",,,,,,,,1
GSSWHER17249C,Simple,8/26/2024,"INDUSTRIAS LA VICTORIA S.A.S
INDUSTRIAS LA VICTORIA S.A.S NIT: 8
10.003.907-7 KRA. 68A NO.39I-55 SUR
BOGOTA COLOM ENTREGA DIRECTA","WHITE DIAMOND INDUSTRIES, LLC
WHITE DIAMOND INDUSTRIES, LLC TAX I
D: 35-2766699 7791 NW 46TH STREET S
UITE 219 DORAL DOMICILLO MIAMI,THE
USA","WHITE DIAMOND INDUSTRIES, LLC","WHITE DIAMOND INDUSTRIES, LLC",GSSW - G2 Ocean Us Inc,"INDUSTRIAS LA VICTORIA S.A.S
INDUSTRIAS LA VICTORIA S.A.S NIT: 8, 10.003.907-7 KRA. 68A NO.39I-55 SUR, BOGOTA COLOM ENTREGA DIRECTA",United States,Colombia,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,7000 BAG, ,7007,7007000 K,2999000,15101010,Classified: 2833.11,FERTILIZER IN BIG BAGS Description: 7000 BAGS SODIUM SULPHATE ANHYDROUS NA2SO4 99% MIN N. W. 1000KGS ISO 9001 MADE IN CHINA SAY SEVEN THOUSAND Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17604A,Simple,8/26/2024,"INDUSTRIAS LA VICTORIA S.A.S
INDUSTRIAS LA VICTORIA S.A.S NIT: 8
10.003.907-7 KRA. 68A NO. 39I - 55
SUR BOGOTA CO ENTREGA DIRECTA","WHITE DIAMOND INDUSTRIES, LLC
WHITE DIAMOND INDUSTRIES, LLC TAX I
D 35-2766699 7791 NW 46TH STREET SU
ITE 219 DORAL DOMICILIO MIAMI,THE U
SA","WHITE DIAMOND INDUSTRIES, LLC","WHITE DIAMOND INDUSTRIES, LLC",GSSW - G2 Ocean Us Inc,"INDUSTRIAS LA VICTORIA S.A.S
INDUSTRIAS LA VICTORIA S.A.S NIT: 8, 10.003.907-7 KRA. 68A NO. 39I - 55, SUR BOGOTA CO ENTREGA DIRECTA",United States,Colombia,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,2000 BAG, ,2004,2004000 K,196000,15101010,Parsed: 2833.11,FERTILIZER IN BIG BAGS Description: 2000 BAGS SHIPPING MARKS: YIN ZHU SODIUM SULPHATE ANHYDROUS HS CODE: 283311 2000 JUMBO BAGS PACKED IN 1000KGS PER BAG OCEAN FREIGHT: USD94188. 00 CLEAN ON BOARD FREIGHT PREPAID SAY: TWO THOUSAND JUMBO BAGS ONLY. Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWMTC6663A,Simple,8/30/2023,"MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium","WEIFANG BANGHUA IMPORT AND EXPORT C
WEIFANG BANGHUA IMPORT AND EXPORT C
LINGANG INDUSTRIAL PARK, BINHAI DE
V 136 9636 8619","WEIFANG BANGHUA IMPORT AND EXPORT C
WEIFANG BANGHUA IMPORT AND EXPORT C
LINGANG INDUSTRIAL PARK, BINHAI DE
V 136 9636 8619",MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR NV
Rietschoorvelden 20, Antwerp, 2170, Belgium",China,Belgium,,,California Ports,Pacific Region,"Dagu/Tanggu, China",China,CNTXG,MAITACA ARROW,2304,9515228,25 BAG, ,25.18,25175 K,71400,15101010,Parsed: 2836.30.00,FERTILIZER IN BIG BAGS Description: 25 25 BAGS SODIUM BICARBOANTE HS CODE: 28363000 Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17251A,Simple,8/26/2024,"BOPP DEL ECUADOR S.A.
BOPP DEL ECUADOR S.A. JAIME ROLDOS
AGUILERA E3-37 E ISIDRO AYORA, PHON
E: 5932478610, QUITO - ECUADOR. RUC
NO. 1790663671001","TORAY INTERNATIONAL SINGAPORE PTE L
TORAY INTERNATIONAL SINGAPORE PTE L
111 SOMERET ROAD,#14-22 SINGAPORE
2",TORAY INTERNATIONAL SINGAPORE PTE L,BOPP DEL ECUADOR S.A.,GSSW - G2 Ocean Us Inc,"BOPP DEL ECUADOR S.A.
BOPP DEL ECUADOR S.A. JAIME ROLDOS, AGUILERA E3-37 E ISIDRO AYORA, PHON, E: 5932478610, QUITO - ECUADOR. RUC, NO. 1790663671001",Singapore,Ecuador,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,668 BAG, ,502.2,502202 K,764000,15101010,Classified: 3902.10,FERTILIZER IN BIG BAGS Description: 668 BAGS N/M 668 BAGS POLYPROPYLENE PPH-F03D AS PER CONTRACT NO.: SAP-JNS03119 (P/O REF: OC-MP-2024-000000069) QTY: 501MT FREIGHT PREPAID SAY SIX HUNDRED AND SIXTY EIGHT BAGS. Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17252A,Simple,8/26/2024,"BOPP DEL ECUADOR S.A.
BOPP DEL ECUADOR S.A. JAIME ROLDOS
AGUILERA E3-37 E ISIDRO AYORA  PHON
E  5932478610 QUITO - ECUADOR. RUC
NO. 1790663671001","TORAY INTERNATIONAL SINGAPORE PTE L
TORAY INTERNATIONAL SINGAPORE PTE L
111 SOMERET ROAD #14-22 SINGAPORE
2",TORAY INTERNATIONAL SINGAPORE PTE L,BOPP DEL ECUADOR S.A.,GSSW - G2 Ocean Us Inc,"BOPP DEL ECUADOR S.A.
BOPP DEL ECUADOR S.A. JAIME ROLDOS, AGUILERA E3-37 E ISIDRO AYORA  PHON, E  5932478610 QUITO - ECUADOR. RUC, NO. 1790663671001",Singapore,Ecuador,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,360 BAG, ,397.5,397500 K,465000,15101010,Classified: 3907.61,FERTILIZER IN BIG BAGS Description: 360 BAGS N/M 360 BAGS POLYESTER CHIP CZ318 AS PER CONTRACT NO. SAP-JNS03121 (P/O REF OC-MP-2024-000000072) SAY THREE HUNDRED AND SIXTY BAGS ONLY. Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPTA2897H,Simple,5/13/2023,"MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium","TIANJIN RED TRIANGLE INTERNATIONALT
TIANJIN RED TRIANGLE INTERNATIONALT
NO.3369,BOHAI 10TH ROAD,HARBOUR EC
O","TIANJIN RED TRIANGLE INTERNATIONALT
TIANJIN RED TRIANGLE INTERNATIONALT
NO.3369,BOHAI 10TH ROAD,HARBOUR EC
O",MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR NV
Rietschoorvelden 20, Antwerp, 2170, Belgium",China,Belgium,,,California Ports,Pacific Region,"Dagu/Tanggu, China",China,CNTXG,PETREL ARROW,2302,,240 BAG, ,301.92,301920 K,196000,15101030,Parsed: 3104.30.00.00,FERTILIZER IN BIG BAGS Description: 240 N/M 240 BAGS POTASSIUM SULPHATE HS CODE: 3104300000 Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWLWN4823A,Simple,6/11/2023,"SOC. COMERCIALIZADORA DE MATERIAS
SOC. COMERCIALIZADORA DE MATERIAS P
RIMAS PARA LA INDUSTRIA O ESPECIALI
DADES QUIMICAS S.A. ADD:COMPAA IA D
E JESUS  1390, OFICI 1006 SANTIAGO","TIANJIN CROWN CHAMPION INDUSTRIAL C
TIANJIN CROWN CHAMPION INDUSTRIAL C
A-2-405, NO.27 GUOXIN OFFICE SECON
D TEDA TIANJIN CHINA",TIANJIN CROWN CHAMPION INDUSTRIAL C,"SOC. COMERCIALIZADORA DE MATERIAS
SOC. COMERCIALIZADORA DE MATERIAS P
RIMAS PARA LA INDUSTRIA O ESPECIALI
DADES QUIMICAS S.A. ADD:COMPAA IA D
E JESUS  1390, OFICI 1006 SANTIAGO",GSSW - G2 Ocean Us Inc,"SOC. COMERCIALIZADORA DE MATERIAS
SOC. COMERCIALIZADORA DE MATERIAS P, RIMAS PARA LA INDUSTRIA O ESPECIALI, DADES QUIMICAS S.A. ADD:COMPAA IA D, E JESUS  1390, OFICI 1006 SANTIAGO",China,Mexico,,,California Ports,Pacific Region,"Tsingtao, China",China,CNTAO,LAWIN ARROW,2302,9687162,374 BAG,374 X,374.75,374748 K,346000,15101010,Classified: 2827.20,"FERTILIZER IN BIG BAGS Description: 374 374 JUMBO BAGS CALCIUM CHLORIDE PRILL PACKING IN 1000KGS JUMBO BAG TOTAL NET WEIGHT: 374, 000. 00KILOS TOTAL GROSS WEIGHT: 374, 748. 00KILOS FREIGHT PREPAID SHIPPED ON BOARD PACKED IN THREE HUNDRED AND SEVENTY-FOUR BAGS Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWJAV3437A,Simple,5/25/2023,"TESSENDERLO KERLEY  INC
TESSENDERLO KERLEY  INC MACROSOURCE
LLC 412 EDWARDS AVE ROUGH AND REA
DY ISLAND STOCKTON  CA 95203   USA","TESSENDERLO GROUP NV/SA
TESSENDERLO GROUP NV/SA RUE DU TRON
E 130  TROONSTRAAT BE-1050  BRUSSEL
S  BELGIUM",TESSENDERLO GROUP NV/SA,MACROSOURCE LLC,GSSW - G2 Ocean Us Inc,"TESSENDERLO KERLEY  INC.
TESSENDERLO KERLEY  INC. 2910 NORTH, 44 TH STREET  SUITE 100 PHOENIX, AZ 85018 USA TEL   602-889-6300",Belgium,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,STAR JAVA,2302,9310513,1 UNT, ,5000,5000000 K,3205000,15101030,Classified: 3104.30,POTASH Description: 1 BULK POTASSIUM SULPHATE (50% K20) GRANULAR TAP BULK FERTILIZER FOR AGRICULTURE USE EU FERTILISING PRODUCTS Marks: NO MARKS,Bulk,Fertilizer,Potassium Fertilizers,Potash,",",",",",",,,,,,,,1
SXBWA36842301001,Simple,5/6/2023,"TESSENDERLO KERLEY, INC MACROSOURCE
LLC C/O PORT OF WILMINGTON 1
SHIPYARD BLVD, WHSE 3 WILMINGTON
NC 28402 USA","TESSENDERLO GROUP NV/SA
RUE DU TRONE 130 TROONSTRAAT
B-1050 BRUSSELS, BELGIUM",TESSENDERLO GROUP NV/SA,MACROSOURCE LLC,SXBW - Swire Bulk Pte Ltd,"TESSENDERLO KERLEY, INC
2910 NORTH 44TH STREET, SUITE 100, PHOENIX, AZ 85018 USA, TEL: 602-889-6300",Belgium,"Wilmington, Wilmington, North Carolina",Southeast Region,Southeast Region,North Carolina Ports,Southeast Region,"Antwerp, Belgium",Belgium,ANTWERPEN,DARYA SINDHU,2301,,1 BLK, ,10000,10000000 KG,6410000,15101030,Classified: 3104.30,POTASSIUM SULPHATE (50% K20) GRANULAR TAP BULK FERTILIZER FOR AGRICULTURE USE EU FERTILISING PRODUCTS,Bulk,Fertilizer,Potassium Fertilizers,Potassium Sulphate,",",",",",",,,,,,,,1
TIXVEDR001SPUS03,Simple,7/15/2024,"UKT CHICAGO INC
3031 N ROCKY POINT DR. W, SUITE 155
TAMPA, FL. 33607
TEMARCELA DAVENPORT 847-212-5715","TERRA FERMA TRADING INC
UNIT NO: 2906 JBC4 PLOT
NO. JTL-PH1-N3A JUMEIRAH LAKES TOWE
DUBAI, REGISTRATION NO. DMCC196641
TELICENSE NO. DMCC-883107",TERRA FERMA TRADING INC,UKT CHICAGO INC,TIXV - Solar Gulf Shipping Dmcc,"UKT CHICAGO INC
3031 N ROCKY POINT DR. W, SUITE 155, TAMPA, FL. 33607",United Arab Emirates,"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"Leningrad, Russia",Russia,ST. PETERSBURG,EQUINOX DREAM,1,9503964,1 BLK, ,5489.76,5489760 ET,4655000,15101030,Classified: 3105.40,AMMONIUM SULFATE FERTILIZER IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Ammonium Sulphate,",",",",",",,,,,,,,1
GSSWHER17254A,Simple,8/26/2024,"TECNOPLAST DEL ECUADOR CIA. LTDA.
TECNOPLAST DEL ECUADOR CIA. LTDA. R
UC NO. 0990055890001 KM 16.5 VIA A
DAULE TEL 593-4-2-162600 FAX 593-4-
2-1623 GUAYAQUIL  ECUADOR","TEKPLAST POLYMERS TRADING LLC.
TEKPLAST POLYMERS TRADING LLC. P.O
BOX 262876  DUBAI UNITED ARAB EMIR
ATES",TEKPLAST POLYMERS TRADING LLC.,TECNOPLAST DEL ECUADOR CIA. LTDA,GSSW - G2 Ocean Us Inc,"TECNOPLAST DEL ECUADOR CIA. LTDA.
TECNOPLAST DEL ECUADOR CIA. LTDA. R, UC NO. 0990055890001 KM 16.5 VIA A, DAULE TEL 593-4-2-162600 FAX 593-4-, 2-1623 GUAYAQUIL  ECUADOR",United Arab Emirates,Ecuador,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,40 BAG, ,44.2,44200 K,51800,15101010,Parsed: 3907.61,FERTILIZER IN BIG BAGS Description: 40 BAGS N/M 40 BAGS JADE CZ-302 TOTAL NO. OF BAGS 40 BAGS TOTAL NET WEIGHT 44. 000 MT TOTAL GROSS WEIGHT 44. 200 MT NCM CODE 3907. 61. 90. 90-5 WOODEN PALLETS NOT APPLICABLE? FREIGHT PREPAID MERCADERIA A REGIMEN DE CONSUMO # 10. NUMERO DE NOTA DE PEDIDO 00-3774/2024 FECHA DE ACEPTACION JUNIO 04 DEL 2. 024 MARCAS TECNOPLAST MORE SEE BL RIDER Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17253D,Simple,8/26/2024,"OVIPLAXA S.A.
OVIPLAXA S.A. LA CASTELLANA 5-10 Y
BARCELONA, CUENCA-ECUADOR RUC: 0190
402746001","TEKPLAST POLYMERS TRADING L.L.C.
TEKPLAST POLYMERS TRADING L.L.C. P
O. BOX: 262876, DUBAI, UNITED ARAB
EMIRATES",TEKPLAST POLYMERS TRADING LLC.,OVIPLAXA S.A.,GSSW - G2 Ocean Us Inc,"OVIPLAXA S.A.
OVIPLAXA S.A. LA CASTELLANA 5-10 Y, BARCELONA, CUENCA-ECUADOR RUC: 0190, 402746001",United Arab Emirates,Ecuador,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,112 BAG, ,112.78,112784 K,172000,15101010,Parsed: 3902.10,FERTILIZER IN BIG BAGS Description: 112 BAGS N/M 112 BAGS POLYPROPYLENE PPH-Y40 (H39S) TOTAL NET WEIGHT: 112. 000 MT TOTAL GROSS WEIGHT: 112. 784 MT H. S. CODE: 390210 FREIGHT PREPAID MORE SEE BL RIDER. Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17253C,Simple,8/26/2024,"AGRICOMINSA, AGRICOLA COMERCIAL IND
AGRICOMINSA, AGRICOLA COMERCIAL IND
KM. 14.5 VIA A DAULE JUNTO AL NUEV
O TERMINAL TERRESTRE DE PASCUALES
GUAYAQUIL, GUAYAS, ECUADOR RUC: 099","TEKPLAST POLYMERS TRADING L.L.C.
TEKPLAST POLYMERS TRADING L.L.C. P
O. BOX: 262876, DUBAI, UNITED ARAB
EMIRATES",TEKPLAST POLYMERS TRADING LLC.,"AGRICOMINSA, AGRICOLA COMERCIAL IND",GSSW - G2 Ocean Us Inc,"AGRICOMINSA, AGRICOLA COMERCIAL IND
AGRICOMINSA, AGRICOLA COMERCIAL IND, KM. 14.5 VIA A DAULE JUNTO AL NUEV, O TERMINAL TERRESTRE DE PASCUALES,, GUAYAQUIL, GUAYAS, ECUADOR RUC: 099",United Arab Emirates,Ecuador,,,California Ports,Pacific Region,"Zhanjiang, China",China,CNZHE,STAR HERDLA,2406,9071557,50 BAG, ,49.85,49847 K,75900,15101010,Parsed: 3902.10,FERTILIZER IN BIG BAGS Description: 50 BAGS N/M 50 BAGS RB307MO BAG POLYPROPYLENE QUANTITY: 49. 500 MT TOTAL NO. OF BAGS: 50 BAGS TOTAL NET WEIGHT: 49. 500 MT TOTAL GROSS WEIGHT: 49. 8465 MT H. S. CODE: 390210 FREIGHT PREPAID MORE SEE BL RIDER Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPTA2896C,Simple,5/13/2023,"MANUCHAR N.V.
MANUCHAR N.V. RIETSCHOORVELDEN 20-2
170 ANTWERP, B BR","TANGSHAN SUNFAR SILICON INDUSTRIES
TANGSHAN SUNFAR SILICON INDUSTRIES
NO.512 XIWANG ROAD, TANGSHAN NANPU
TANGSHAN, HEBEI, CHINA","TANGSHAN SUNFAR SILICON INDUSTRIES
TANGSHAN SUNFAR SILICON INDUSTRIES
NO.512 XIWANG ROAD, TANGSHAN NANPU
TANGSHAN, HEBEI, CHINA",MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR N.V.
MANUCHAR N.V. RIETSCHOORVELDEN 20-2, 170 ANTWERP, B BR",China,Brazil,,,California Ports,Pacific Region,"Dagu/Tanggu, China",China,CNTXG,PETREL ARROW,2302,,80 BAG, ,100.64,100640 K,65300,15101030,Parsed: 3104.30.00.00,FERTILIZER IN BIG BAGS Description: 80 N/M 80 BAGS POTASSIUM SULPHATE HS CODE: 3104300000 Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPTA2897G,Simple,5/13/2023,"MANUCHAR NV
Rietschoorvelden 20
Antwerp
2170
Belgium","TANGSHAN SANYOU GROUP HONGKONG INTE
TANGSHAN SANYOU GROUP HONGKONG INTE
FLAT/RM 3701 37/F TOWER ONE LIPPO
C","TANGSHAN SANYOU GROUP HONGKONG INTE
TANGSHAN SANYOU GROUP HONGKONG INTE
FLAT/RM 3701 37/F TOWER ONE LIPPO
C",MANUCHAR NV,GSSW - G2 Ocean Us Inc,"MANUCHAR NV
Rietschoorvelden 20, Antwerp, 2170, Belgium",Hong Kong,Belgium,,,California Ports,Pacific Region,"Dagu/Tanggu, China",China,CNTXG,PETREL ARROW,2302,,66 BAG, ,49.7,49698 K,41500,15101010,Parsed: 2836.20.00.00,FERTILIZER IN BIG BAGS Description: 66 N/M 66 BAGS SODA ASH LIGHT HS CODE?2836200000 Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWHER17606H,Simple,8/26/2024,"QUIMICA INDUSTRIAL MONTALVO AGUILAR
QUIMICA INDUSTRIAL MONTALVO AGUILAR
AMAZONAS N3543 Y JUAN PABLO SANZ D
I 1 PISO 8 OFICINA 805 QUITO, ECUAD
OR","STAR GRACE MINING CO.,LIMITED
STAR GRACE MINING CO.,LIMITED FLAT
RM 1002 10/F PERFECT COMMERCIA 20 A
USTIN AVENUE TSIM SHA TSUI KL","STAR GRACE MINING CO.,LIMITED",QUIMICA INDUSTRIAL MONTALVO AGUILAR,GSSW - G2 Ocean Us Inc,"QUIMICA INDUSTRIAL MONTALVO AGUILAR
QUIMICA INDUSTRIAL MONTALVO AGUILAR, AMAZONAS N3543 Y JUAN PABLO SANZ D, I 1 PISO 8 OFICINA 805 QUITO, ECUAD, OR",Hong Kong,Ecuador,,,California Ports,Pacific Region,"Tsingtao, China",China,CNTAO,STAR HERDLA,2406,9071557,600 BAG,750 X,751.2,751200 K,781000,15101030,Classified: 3105.90,FERTILIZER IN BIG BAGS Description: 600 600 BAGS MAGNESIUM OXIDE POWDER 90% TOTAL QUANTITY: 750MT NET - 751. 2MT GROSS - 600BAGS FREIGHT PREPAID SHIPPED ON BOARD MAN 4395 /MAGNESIUM OXIDE / VIA GUAYAQUIL / ECUADOR / IMPORTED BY QUIMASA S. A. / BATCH NUMBER: SG202406 / PRODUCTION DATE: 10/06/2024 / EXPIRY DATE: 10/06/2026 / NET WEIGHT: 1250KG / MADE IN CHINA Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
CINT4080MORTOC11,Simple,4/16/2025,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO
4 COLONIA CIUDAD DEL SOL CODIIGO
POSTAL 45050 JALISCO MEXICO","SQM INDUSTRIAL SA
LOS MILITARES N 4290 LAS CONDES
SANTIAGO, CHILE
CHILE",SQM,SQM,CINT - Cargill International S A,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO, 4 COLONIA CIUDAD DEL SOL CODIIGO, POSTAL 45050 JALISCO MEXICO",Chile,Mexico,,,California Ports,Pacific Region,"Tocopilla, Chile",Chile,CHILE,TIZIANA,83,,1 BLK, ,8.81,8811 KG,29400,15101010,Classified: 2922.19,"8, 811. 100 ULTRASOL NKS, AGRICULTURAL GRADE, C RYSTALIZED FOREIGN RETAINED ON BOARD",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
CINT4080MORTOC13,Simple,4/16/2025,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO
4 COLONIA CIUDAD DEL SOL CODIIGO
POSTAL 45050 JALISCO MEXICO","SQM INDUSTRIAL SA
LOS MILITARES N 4290 LAS CONDES
SANTIAGO, CHILE
CHILE",SQM,SQM,CINT - Cargill International S A,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO, 4 COLONIA CIUDAD DEL SOL CODIIGO, POSTAL 45050 JALISCO MEXICO",Chile,Mexico,,,California Ports,Pacific Region,"Tocopilla, Chile",Chile,CHILE,TIZIANA,83,,1 BLK, ,8.81,8811 KG,29400,15101010,Classified: 2922.19,"8, 811. 100 KILOS ULTRASOL NKS, AGRICULTURAL GR ADE, CRYSTALIZED FOREIGN RETAINED ON BOARD",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
CINT4080MORTOC07,Simple,4/16/2025,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO
4 COLONIA CIUDAD DEL SOL CODIIGO
POSTAL 45050 JALISCO MEXICO","SQM INDUSTRIAL SA
LOS MILITARES N 4290 LAS CONDES
SANTIAGO, CHILE
CHILE",SQM,SQM,CINT - Cargill International S A,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO, 4 COLONIA CIUDAD DEL SOL CODIIGO, POSTAL 45050 JALISCO MEXICO",Chile,Mexico,,,California Ports,Pacific Region,"Tocopilla, Chile",Chile,CHILE,TIZIANA,83,,1 BLK, ,8.31,8310 KG,27800,15101010,Classified: 2922.19,"8, 309. 800 KILOS ULTRASOL NKS, AGRICULTURAL GR ADE, CRYSTALIZED FOREIGN RETAINED ON BOARD",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
CINT4080MORTOC08,Simple,4/16/2025,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO
4 COLONIA CIUDAD DEL SOL CODIIGO
POSTAL 45050 JALISCO MEXICO","SQM INDUSTRIAL SA
LOS MILITARES N 4290 LAS CONDES
SANTIAGO, CHILE
CHILE",SQM,SQM,CINT - Cargill International S A,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO, 4 COLONIA CIUDAD DEL SOL CODIIGO, POSTAL 45050 JALISCO MEXICO",Chile,Mexico,,,California Ports,Pacific Region,"Tocopilla, Chile",Chile,CHILE,TIZIANA,83,,1 BLK, ,2.63,2625 KG,1900,10102030,Classified: 2710.12,"2, 624. 800 KILOS QROP-KS-AGRICULTURAL GRADE FOREIGN RETAINED ON BOARD",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
CINT4080MORTOC09,Simple,4/16/2025,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO
4 COLONIA CIUDAD DEL SOL CODIIGO
POSTAL 45050 JALISCO MEXICO","SQM INDUSTRIAL SA
LOS MILITARES N 4290 LAS CONDES
SANTIAGO, CHILE
CHILE",SQM,SQM,CINT - Cargill International S A,"SQM COMMERCIAL DE MEXICO SA DE CV
RFC SCN0012123D6 MOCTEZUMA#144 PISO, 4 COLONIA CIUDAD DEL SOL CODIIGO, POSTAL 45050 JALISCO MEXICO",Chile,Mexico,,,California Ports,Pacific Region,"Tocopilla, Chile",Chile,CHILE,TIZIANA,83,,830 BAG, ,1,998 KG,6200,30202030,Classified: 0901.11,"830 MAXI BAGS / 998. 490 KILOS ULTRASOL K ACID, AGRICULTURAL GRADE, CRYSTALLIZED FOREIGN RETAINED ON BOARD",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
